student_id,Gender,gpa_current,attendance_rate,Financial_aid_status,Family_Income,Dropout
S1225,Male,2.24,0.66,FALSE,197660,2
S1226,Male,3.89,0.93,TRUE,450803,0
S1227,Female,2.44,0.77,TRUE,988281,1
S1228,Male,2.53,0.64,FALSE,531531,1
S1229,Female,3.42,0.82,TRUE,283140,0
S1230,Male,2.99,0.69,FALSE,450780,1
S1231,Female,2.45,0.71,TRUE,503812,1
S1232,Female,2.08,0.7,FALSE,416968,1
S1233,Female,1.99,0.96,TRUE,653733,2
S1234,Male,2.07,0.96,FALSE,378379,1
S1235,Male,2.58,0.68,FALSE,152471,2
S1236,Female,2.39,0.59,FALSE,176483,2
S1237,Male,2.69,0.76,TRUE,859727,1
S1238,Female,3.35,0.97,TRUE,284244,0
S1239,Female,2.99,0.74,FALSE,211932,1
S1240,Male,1.99,0.52,FALSE,666937,2
S1241,Female,1.75,0.91,FALSE,208126,2
S1242,Male,2.72,0.62,FALSE,832569,1
S1243,Female,3.51,0.53,TRUE,965408,1
S1244,Female,1.66,0.84,FALSE,570046,2
S1245,Male,3.42,0.79,TRUE,675032,0
S1246,Male,2.62,0.79,FALSE,522369,1
S1247,Female,3.62,0.65,FALSE,488897,1
S1248,Male,3.63,0.76,FALSE,811220,0
S1249,Female,3.51,0.77,FALSE,544020,0
S1250,Female,2.43,0.85,FALSE,536680,1
S1251,Male,2.29,0.69,TRUE,321758,1
S1252,Female,3.85,0.67,FALSE,391230,1
S1253,Male,1.62,0.7,FALSE,963767,2
S1254,Female,3.36,0.53,FALSE,312298,1
S1255,Female,3.25,0.75,FALSE,122221,2
S1256,Male,2.64,0.69,FALSE,946404,1
S1257,Female,2.89,0.99,FALSE,126758,2
S1258,Female,1.92,0.97,FALSE,928177,2
S1259,Female,2.2,0.52,FALSE,142487,2
S1260,Female,2.84,0.69,FALSE,601669,1
S1261,Female,2.95,0.64,TRUE,615610,1
S1262,Male,2.68,0.7,TRUE,975785,1
S1263,Male,2.62,0.87,FALSE,732079,1
S1264,Male,2.79,0.81,FALSE,444750,1
S1265,Female,3.26,0.88,FALSE,158274,2
S1266,Female,2.96,0.69,TRUE,158238,1
S1267,Female,3.72,0.59,FALSE,966993,1
S1268,Female,2.81,0.89,TRUE,683138,1
S1269,Male,2.54,0.97,FALSE,72950,2
S1270,Female,3.31,0.75,FALSE,732533,0
S1271,Female,3.11,0.62,TRUE,801198,1
S1272,Male,3.23,0.61,FALSE,979520,1
S1273,Male,2.87,0.72,FALSE,726005,1
S1274,Male,1.77,0.9,FALSE,995214,2
S1275,Female,2.59,0.77,FALSE,771007,1
S1276,Male,3.57,0.54,FALSE,279496,1
S1277,Female,3.1,1,TRUE,426429,0
S1278,Female,3.12,0.83,FALSE,166981,2
S1279,Female,2.19,0.97,FALSE,773888,1
S1280,Female,1.53,0.86,FALSE,110612,2
S1281,Female,1.98,0.96,FALSE,195509,2
S1282,Female,2.5,0.7,TRUE,215071,1
S1283,Female,2.95,0.84,FALSE,832972,1
S1284,Female,3.05,0.85,TRUE,500618,0
S1285,Male,1.94,0.75,TRUE,256032,2
S1286,Female,3.58,0.96,FALSE,618232,0
S1287,Female,3.87,0.81,FALSE,301801,1
S1288,Male,3.49,0.57,TRUE,443458,1
S1289,Male,1.93,0.76,FALSE,867039,2
S1290,Female,2.06,0.91,FALSE,593750,1
S1291,Female,2.69,0.64,TRUE,888455,1
S1292,Male,3.67,0.52,TRUE,703429,1
S1293,Male,3.08,0.67,FALSE,249506,1
S1294,Female,3.27,0.57,TRUE,910617,1
S1295,Female,3.38,0.56,FALSE,149324,2
S1296,Male,3.78,0.81,TRUE,466275,0
S1297,Male,2.52,0.57,TRUE,474786,1
S1298,Female,2.46,0.68,FALSE,910154,1
S1299,Female,2.77,0.57,TRUE,367047,1
S1300,Male,2.72,0.82,FALSE,933108,1
S1301,Female,1.81,0.51,FALSE,870678,2
S1302,Female,3.04,0.54,FALSE,490687,1
S1303,Female,3.91,0.67,FALSE,121675,2
S1304,Male,3.53,0.97,FALSE,177796,2
S1305,Female,2.22,0.52,FALSE,441869,1
S1306,Female,3.16,0.51,FALSE,57460,2
S1307,Female,3.03,0.98,TRUE,287879,0
S1308,Male,2.87,0.71,FALSE,207659,1
S1309,Male,1.74,0.66,FALSE,328729,2
S1310,Male,1.7,0.74,FALSE,894447,2
S1311,Male,3.84,0.96,FALSE,578430,0
S1312,Female,2.31,0.78,FALSE,240633,1
S1313,Female,2.55,0.67,FALSE,956414,1
S1314,Female,2.8,0.56,TRUE,803104,1
S1315,Female,1.63,0.5,FALSE,577738,2
S1316,Male,1.76,0.97,FALSE,900231,2
S1317,Male,2.95,0.53,FALSE,422280,1
S1318,Male,1.65,0.6,FALSE,801226,2
S1319,Male,3.31,0.75,TRUE,987603,0
S1320,Female,3.1,0.96,FALSE,493084,0
S1321,Female,1.63,0.56,FALSE,209361,2
S1322,Female,1.76,0.56,TRUE,708970,2
S1323,Male,2.48,0.61,FALSE,625514,1
S1324,Female,1.79,0.52,TRUE,532158,2
S1325,Female,2.35,0.97,FALSE,607564,1
S1326,Female,2.77,0.69,TRUE,868727,1
S1327,Female,2.23,0.85,TRUE,255875,1
S1328,Female,2.81,0.63,TRUE,871108,1
S1329,Male,1.98,0.7,FALSE,825202,2
S1330,Male,2.12,0.83,FALSE,580907,1
S1331,Male,2.85,0.97,FALSE,798933,1
S1332,Male,2.35,0.96,TRUE,71586,1
S1333,Male,3.07,0.87,TRUE,290701,0
S1334,Male,2.87,0.79,FALSE,469048,1
S1335,Female,3.4,0.99,FALSE,677176,0
S1336,Female,1.69,0.83,TRUE,907966,2
S1337,Female,2.88,1,FALSE,177523,2
S1338,Male,3.26,0.68,TRUE,210394,1
S1339,Male,2.98,0.81,TRUE,629985,1
S1340,Male,1.83,0.51,TRUE,488621,2
S1341,Female,1.63,0.92,TRUE,404213,2
S1342,Male,4,0.92,FALSE,588296,0
S1343,Male,3.02,0.9,FALSE,64297,2
S1344,Male,2.15,0.64,FALSE,524367,1
S1345,Male,2.47,0.78,FALSE,881098,1
S1346,Male,3.35,0.83,FALSE,433595,0
S1347,Male,2.13,0.79,TRUE,317055,1
S1348,Female,3.41,0.52,TRUE,549710,1
S1349,Male,1.68,0.87,FALSE,294395,2
S1350,Female,3,0.55,FALSE,877460,1
S1351,Male,2.13,0.57,FALSE,334082,1
S1352,Female,3.12,0.52,FALSE,518294,1
S1353,Female,2.5,0.84,TRUE,414563,1
S1354,Female,2.93,0.69,FALSE,531513,1
S1355,Female,3.64,0.54,TRUE,105761,1
S1356,Female,3.52,0.61,TRUE,87059,1
S1357,Male,3.65,1,FALSE,895967,0
S1358,Female,3.79,0.53,FALSE,86748,2
S1359,Male,3.52,0.8,FALSE,345830,1
S1360,Male,3.51,0.78,FALSE,184002,2
S1361,Female,3.07,0.77,FALSE,820965,0
S1362,Male,3.83,0.85,FALSE,511825,0
S1363,Male,2.31,0.68,TRUE,658175,1
S1364,Female,2.62,0.54,TRUE,616888,1
S1365,Female,3.54,0.6,TRUE,646232,1
S1366,Female,3.26,0.5,FALSE,466057,1
S1367,Male,3.59,0.74,FALSE,373056,1
S1368,Female,3.5,0.95,FALSE,226027,1
S1369,Female,2.03,0.81,FALSE,539407,1
S1370,Female,2.92,0.88,TRUE,652036,1
S1371,Male,2.11,0.55,FALSE,879947,1
S1372,Male,1.82,0.68,TRUE,825834,2
S1373,Female,1.6,0.77,TRUE,186737,2
S1374,Male,1.9,0.7,TRUE,755014,2
S1375,Male,2.12,0.58,FALSE,463979,1
S1376,Male,3.25,0.54,FALSE,559852,1
S1377,Female,2.17,0.75,FALSE,361289,1
S1378,Male,2.73,0.9,FALSE,474148,1
S1379,Male,3.81,0.51,TRUE,518480,1
S1380,Female,2.24,0.8,FALSE,944783,1
S1381,Female,3.14,0.98,TRUE,239472,0
S1382,Female,2.52,0.76,FALSE,358034,1
S1383,Female,2.2,0.97,TRUE,704772,1
S1384,Female,2.68,0.52,FALSE,607673,1
S1385,Female,2.3,0.64,TRUE,311881,1
S1386,Male,3.72,0.87,FALSE,334758,1
S1387,Male,3.81,0.69,FALSE,841402,1
S1388,Female,3.87,0.57,TRUE,459910,1
S1389,Female,3.64,0.55,TRUE,268694,1
S1390,Male,3.87,0.5,FALSE,546832,1
S1391,Male,3.24,0.53,FALSE,709226,1
S1392,Male,2.61,0.6,FALSE,297141,1
S1393,Female,2.58,0.65,TRUE,902171,1
S1394,Male,3.61,0.54,FALSE,749025,1
S1395,Male,3.17,0.63,FALSE,963944,1
S1396,Male,2.61,0.62,FALSE,329150,1
S1397,Male,2.8,0.62,TRUE,424286,1
S1398,Female,3.27,0.66,FALSE,759973,1
S1399,Female,2.48,0.87,FALSE,636989,1
S1400,Male,2.41,0.84,TRUE,76010,1
S1401,Female,3.35,0.56,FALSE,97572,2
S1402,Female,1.68,0.72,FALSE,105645,2
S1403,Male,3.13,0.78,FALSE,868351,0
S1404,Male,2.2,0.82,FALSE,385588,1
S1405,Male,3.19,0.55,FALSE,594996,1
S1406,Male,3.04,0.91,FALSE,379308,1
S1407,Female,2.6,0.7,TRUE,970432,1
S1408,Male,1.68,0.61,FALSE,614966,2
S1409,Female,2.73,0.88,FALSE,783702,1
S1410,Female,3.31,0.92,FALSE,313046,1
S1411,Male,2.23,0.89,FALSE,381939,1
S1412,Male,2.62,0.75,FALSE,453302,1
S1413,Male,1.74,0.81,FALSE,117796,2
S1414,Female,2.84,0.71,FALSE,311142,1
S1415,Female,2.2,0.59,TRUE,78146,1
S1416,Female,2.68,0.82,FALSE,841219,1
S1417,Male,2.52,0.79,TRUE,208059,1
S1418,Male,2.39,0.88,FALSE,480018,1
S1419,Female,1.78,0.58,TRUE,272434,2
S1420,Male,2.82,0.79,FALSE,73136,2
S1421,Female,3.05,0.78,FALSE,469953,0
S1422,Male,2.9,0.9,FALSE,855340,1
S1423,Female,3.81,0.99,FALSE,569720,0
S1424,Male,1.5,0.54,TRUE,558812,2
S1425,Male,1.62,0.96,TRUE,551040,2
S1426,Female,2.94,0.93,FALSE,667933,1
S1427,Male,3.08,0.72,TRUE,517978,0
S1428,Male,2.16,0.8,FALSE,615822,1
S1429,Female,3.98,0.75,TRUE,878315,0
S1430,Male,2.45,0.86,FALSE,873688,1
S1431,Female,2.02,0.92,FALSE,183192,2
S1432,Female,1.8,0.63,FALSE,881466,2
S1433,Male,2.51,0.59,FALSE,849440,1
S1434,Female,2.06,0.71,FALSE,559509,1
S1435,Female,3.5,0.75,FALSE,719327,0
S1436,Female,3.53,0.9,TRUE,572867,0
S1437,Female,1.7,0.63,TRUE,896680,2
S1438,Female,3.72,0.78,FALSE,798989,0
S1439,Male,3.46,0.96,FALSE,919132,0
S1440,Female,3.84,0.54,FALSE,107233,2
S1441,Female,2.05,0.89,TRUE,465020,1
S1442,Female,3.26,0.65,FALSE,560706,1
S1443,Female,2.05,0.89,FALSE,114882,2
S1444,Female,2.07,0.9,TRUE,754458,1
S1445,Female,1.6,0.73,FALSE,444684,2
S1446,Female,1.96,0.66,FALSE,634830,2
S1447,Female,1.67,0.64,FALSE,115711,2
S1448,Female,2.54,0.61,TRUE,653429,1
S1449,Male,3.52,0.69,FALSE,787701,1
S1450,Male,2.33,0.66,TRUE,809004,1
S1451,Female,2.08,0.8,FALSE,555039,1
S1452,Female,2.88,0.56,FALSE,240219,1
S1453,Male,3.19,0.74,FALSE,759638,0
S1454,Female,2.1,0.95,FALSE,206478,1
S1455,Female,2.01,0.67,FALSE,392259,1
S1456,Female,2.52,0.69,FALSE,620453,1
S1457,Female,1.77,0.99,FALSE,357850,2
S1458,Female,2.01,0.9,FALSE,936503,1
S1459,Male,2.4,0.52,FALSE,860812,1
S1460,Male,1.71,0.88,TRUE,759598,2
S1461,Female,2.77,0.7,FALSE,763791,1
S1462,Male,3.92,0.54,FALSE,713295,1
S1463,Female,2.97,1,TRUE,846289,1
S1464,Female,1.83,0.6,FALSE,395844,2
S1465,Female,3.46,0.97,FALSE,400487,0
S1466,Male,2.67,0.92,TRUE,328386,1
S1467,Female,1.53,0.85,TRUE,356774,2
S1468,Female,2.19,0.58,FALSE,694119,1
S1469,Male,3.92,0.59,FALSE,833654,1
S1470,Male,2.56,0.5,FALSE,120545,2
S1471,Male,2.68,0.95,TRUE,87600,1
S1472,Female,2.12,0.51,FALSE,96831,2
S1473,Male,3.46,0.56,TRUE,997904,1
S1474,Female,2.13,0.76,FALSE,621806,1
S1475,Female,2.73,0.71,TRUE,232164,1
S1476,Male,3.94,0.78,TRUE,730776,0
S1477,Female,3.13,0.84,FALSE,402441,0
S1478,Male,2.61,0.84,FALSE,191003,2
S1479,Male,3.19,0.83,TRUE,101834,0
S1480,Male,2.98,0.91,TRUE,88849,1
S1481,Female,2.47,0.63,TRUE,840261,1
S1482,Male,3.68,0.76,FALSE,52673,2
S1483,Male,3.29,0.58,FALSE,531743,1
S1484,Female,3.95,0.76,FALSE,137860,2
S1485,Female,2.05,0.7,FALSE,449834,1
S1486,Male,2.62,0.55,FALSE,231123,1
S1487,Male,2.58,0.52,FALSE,173652,2
S1488,Male,1.93,0.8,FALSE,736808,2
S1489,Male,1.97,0.83,TRUE,218488,2
S1490,Female,3.12,0.95,FALSE,54743,2
S1491,Male,3.75,0.84,TRUE,540370,0
S1492,Female,2.64,0.99,FALSE,564790,1
S1493,Female,2.7,0.85,FALSE,510587,1
S1494,Female,2.13,0.8,TRUE,420914,1
S1495,Male,1.78,0.89,TRUE,160048,2
S1496,Male,2.77,0.68,FALSE,186259,2
S1497,Female,2.05,0.58,TRUE,831145,1
S1498,Female,3.98,0.54,TRUE,565580,1
S1499,Female,2.27,0.9,FALSE,847503,1
S1500,Male,3.8,0.51,FALSE,911899,1
S1501,Male,1.53,0.71,FALSE,389831,2
S1502,Female,3.83,0.96,FALSE,719857,0
S1503,Male,1.63,0.76,TRUE,848684,2
S1504,Male,1.99,0.9,FALSE,754379,2
S1505,Female,1.51,0.92,FALSE,526149,2
S1506,Male,2.66,0.93,FALSE,212666,1
S1507,Female,3.69,0.78,TRUE,580239,0
S1508,Male,3.2,0.7,FALSE,504349,0
S1509,Female,3.86,0.79,FALSE,796871,0
S1510,Female,2.81,0.72,TRUE,639318,1
S1511,Female,3.43,0.8,TRUE,799911,0
S1512,Female,2.37,0.68,TRUE,275641,1
S1513,Female,3.16,0.76,FALSE,349552,1
S1514,Female,2.95,0.91,FALSE,79019,2
S1515,Female,3.35,0.88,TRUE,693475,0
S1516,Female,1.68,0.85,FALSE,158376,2
S1517,Female,3.83,0.72,TRUE,663053,0
S1518,Male,2.49,0.94,FALSE,798206,1
S1519,Female,2.88,0.66,FALSE,736999,1
S1520,Female,3.46,0.82,FALSE,733453,0
S1521,Female,2.05,0.64,FALSE,309193,1
S1522,Male,1.52,0.6,FALSE,397450,2
S1523,Male,3.52,0.55,FALSE,690056,1
S1524,Male,3.48,0.95,FALSE,95491,2
S1525,Female,2.83,0.95,TRUE,403674,1
S1526,Male,1.55,0.75,FALSE,116617,2
S1527,Female,2.12,0.89,FALSE,397706,1
S1528,Male,2.24,0.57,FALSE,856294,1
S1529,Female,3.86,0.54,TRUE,489443,1
S1530,Female,3.07,0.77,FALSE,251139,1
S1531,Female,2.17,0.86,FALSE,593151,1
S1532,Female,1.69,0.92,TRUE,469552,2
S1533,Female,3.23,0.74,FALSE,965651,0
S1534,Female,3.26,0.79,FALSE,265126,1
S1535,Female,2.95,0.6,FALSE,517179,1
S1536,Female,2.84,0.96,FALSE,798427,1
S1537,Female,3.22,0.78,FALSE,521456,0
S1538,Male,2.67,0.8,TRUE,850339,1
S1539,Male,3.57,0.59,TRUE,108422,1
S1540,Female,3.93,0.8,FALSE,889148,0
S1541,Male,3.98,0.83,FALSE,935667,0
S1542,Female,2.02,0.91,TRUE,663718,1
S1543,Male,1.75,0.75,TRUE,597880,2
S1544,Male,2.86,0.59,FALSE,912869,1
S1545,Female,2.82,0.66,TRUE,631065,1
S1546,Male,2.41,0.71,FALSE,705130,1
S1547,Female,2.54,0.91,FALSE,226463,1
S1548,Female,1.68,0.77,FALSE,544079,2
S1549,Male,2.34,0.87,FALSE,524720,1
S1550,Female,3.48,0.56,TRUE,99870,1
S1551,Female,3.13,0.91,FALSE,680110,0
S1552,Female,3.31,0.72,FALSE,307141,1
S1553,Female,3.16,0.6,TRUE,59304,1
S1554,Female,2.83,0.6,FALSE,295123,1
S1555,Male,2.16,0.65,FALSE,676945,1
S1556,Female,3.87,0.75,FALSE,282347,1
S1557,Female,3.92,0.7,TRUE,426708,0
